"m" "tau" "rho" "theta" "s"
1.01225793622049 0.7368635887658 1.03877338771731 1.0117795498187 0.0684155078188546
1.01823078739801 0.777628144127826 1.06170217282376 1.00184932340971 0.0947854422036687
1.03710059427776 0.713620405112596 1.01928603311838 1.01192428137436 0.273791913663308
0.941996781354803 0.589510001185541 1.05379584406476 1.01313543377417 0.493958482953
1.02951215467484 0.796186861490102 0.922545840098024 1.00191288411412 0.0627648358878112
0.986419944905605 0.657800254402784 1.02110798023231 1.00876217702071 0.0876052129849736
0.958335334571142 0.734894173012207 1.00408865049064 0.997347034057978 0.226324887550216
1.0083433313847 0.8453789376104 1.13950048445713 0.996246552286098 0.505356302576722
0.987060600696776 0.676196001289303 0.964630423241254 0.998398569265782 0.0431563434625519
1.0512448352565 0.804773093664905 1.07885183882437 1.00348414366485 0.107873708170142
0.979731175782672 0.718430159111165 1.08400499688964 0.998663260355484 0.219491445342878
1.00084628619029 0.668073883304917 1.05950285413817 1.00937608463416 0.504272222268003
1.00844565098132 0.883804095967851 0.990450557298186 0.990489671202503 0.0522533436430046
0.999349583321649 0.817448155947445 1.00814905092643 0.995416295983425 0.0980875092468354
0.981707514665479 0.797297377549035 1.03817423456993 1.01021503422213 0.260581492770116
1.05529568754864 0.881709230656512 0.998045589569971 0.995315922322913 0.491041907604127
0.98419378243464 0.665968008226842 1.03260017286217 1.00303999208488 0.0671654006545579
0.999993538695002 0.726254929882428 1.10001561690537 0.99875159586373 0.104015422769703
1.00643836367037 0.830043298757367 0.9155537001584 0.993219702476485 0.20837289937424
1.03671045831906 0.874695090064886 0.951290957383033 1.00121066159285 0.521481019273667
0.960617745543475 0.741563001551407 1.07809184911136 0.998111038792975 0.0287479692395889
0.978441492317585 0.827625535226306 1.0107729158565 1.0014542003603 0.115387185291606
1.00787225691095 0.648181966428615 1.03804302815794 1.01398000833583 0.252386731756242
0.96833274131508 0.884565399118595 0.938536148613314 0.994606887750832 0.478184421503748
1.0423252215455 0.603187554511328 0.935890746317608 1.01724637775091 0.0479882974823045
1.05507118977768 0.783069879988293 1.02729616783713 0.99696817731269 0.124699668396384
0.944042558565215 0.926848602861262 0.952300269651803 0.989920039063574 0.255759970465433
1.05250193147439 0.804431359771782 1.07309986871913 1.00346609495543 0.520643128333322
0.98732229188663 0.780370745832856 1.02524585642747 0.998484197772669 0.0439563917120538
1.05272904356363 0.791199179642349 0.985488100663696 0.998716827309985 0.0875482438182738
0.976149273002669 0.820263383042574 1.18334140534537 0.99808829691008 0.257447436556357
0.942733193352208 0.766702062139821 1.18498285246665 0.996170087903887 0.4766675155576
0.967331879738925 0.913414309838438 1.01642239512105 0.990988525331929 0.0312857688020838
1.00420082654328 0.731808987573345 1.07541151278853 1.00375828789451 0.095355363442426
1.02054532708434 0.832507210393715 1.11707364915696 0.999687042309934 0.246812073717736
1.00401389054804 0.828634175491409 1.0428140619595 1.00137160904816 0.508588824316244
1.04566573527249 0.857041642229235 1.04839702332974 0.99761346594972 0.0691232310565568
0.971837652884289 0.93811414356726 1.03531581619718 0.993425023361715 0.0954311896456812
1.00330690406555 0.75596609332322 1.01881529899329 1.00616633734915 0.2354615317287
0.96989440361055 0.796881144826372 0.945880340977856 0.992582356886889 0.482486097831508
1.07628923690533 0.805203167601977 0.993841048690141 1.00787550680085 0.0730072762870992
0.924910204881185 0.900026719372574 0.914033790625418 0.986511214094042 0.076435611777377
0.930550413885554 0.529268503314708 0.956361513026473 1.01370386817444 0.24338047155256
1.03184226263041 0.735141145969574 1.04943616424501 1.0003103320251 0.472487990927177
1.01334345569273 0.678092153722891 1.02981010150722 1.00927767912783 0.0712914996838461
0.996759937337664 0.756615438758681 0.924085862007366 1.00039130801871 0.0828023940187348
0.998301452773209 0.770376176095083 0.888858490399189 1.00784304977478 0.231473055306011
0.981400969987873 0.682249972311987 1.07999971092166 1.01251668992186 0.510628331327067
0.952635213286852 0.685205992931427 0.987947991456973 1.00384950994611 0.0532115119318128
1.00058210719541 0.874843412582959 0.972618420606366 1.00403174638304 0.0993168254854937
1.024633228778 0.84806091790959 0.924092854422202 1.00028759625746 0.246654771481506
1.0105204735438 0.775792567490159 0.970188645872404 0.997961880585631 0.505137032816999
1.00136421098151 1.08770241941703 0.952023257635434 0.980503157404024 0.0367340226451631
0.962766906222363 0.652735260758148 0.948193906764382 1.00704671222167 0.109187920300649
1.04373704533509 0.835753267846554 0.939123817462577 0.99783825437492 0.265931777286819
1.01885828080128 0.902711150601323 0.959502241729057 0.992090709842483 0.502785585924535
1.01741255736271 0.845595246482546 1.05344537783465 0.997843044731728 0.032630719518713
0.988480642684249 0.813123703323899 0.952022477823643 1.00316586654365 0.0893132443799247
1.04109916214874 0.736687812577978 1.05964500408933 1.01280788220331 0.256714512840199
0.90942054410305 0.698895838435984 0.917479110167142 1.00833473131284 0.480425387514252
1.04640881618724 0.738586547465085 1.00209032593921 1.0098440872496 0.0553584908319891
1.02110386772719 0.704582518532468 0.983853148311397 1.01121831223042 0.0900427387542491
1.00061205879454 0.771229714434866 1.09026744640414 0.997419995541445 0.242617213173905
0.978733610355912 0.765986203589385 0.958039309391602 1.0005153242403 0.463077474682257
