"m" "tau" "rho" "theta" "q"
0.961659559845249 0.67683092188043 1.02710469821396 0.998582872962821 0.160391028091845
0.898838932376013 0.487266526986271 1.0753456562524 0.999872770018719 0.210893413123065
0.699263163313298 0.342586585759657 0.866240726206116 0.997959826464431 0.209001574021694
0.513322451303236 0.239326226235019 0.884365904256743 0.999466971584017 0.190158776166293
0.939130715139154 0.590461814782552 0.904854097595714 0.995977071242472 0.189559042222312
0.871667755494404 0.464946537406837 0.985495081584351 1.0028436642222 0.223411517614351
0.701140670216652 0.339835091725525 0.931734921639343 0.987788795208715 0.237264868867141
0.506616773360634 0.241516416780816 0.873703047303568 1.00114546059913 0.18117957158034
0.984546336464499 0.651956652306913 1.01112686923447 0.998429328702769 0.137020398777518
0.880711156788926 0.48742016053191 0.967445151578614 1.00191764566498 0.196043600953041
0.724990860943658 0.339221347576969 0.929092868496399 0.991023768681509 0.236118747826559
0.493842424227043 0.23079949943584 0.904354410356043 1.00419433554915 0.180524838895918
0.928250010380516 0.714036875807944 0.892253722821296 0.984379974995808 0.110492296891813
0.904724674829435 0.448454873373818 0.943456307931827 1.0054023981456 0.219159647416178
0.733247819878811 0.391667316749714 0.869278623498841 0.983892083615474 0.192994541265397
0.493963053658548 0.248107244337998 0.860355843731408 0.984930342510615 0.191250483330046
0.935310403507409 0.712417499517168 1.02464972284048 0.993145194253026 0.109631188007952
0.90078738257248 0.457028373780349 1.00945875919529 1.00749673233491 0.202116041455418
0.695004748280152 0.337086636857151 0.871038354280572 0.989948765952199 0.265305397476501
0.522379693959838 0.247670988267728 0.836807366863031 0.98326321596378 0.183596841769256
0.953642578187292 0.629494641642784 1.0624787878742 1.00775979808529 0.133447070517696
0.894465745317065 0.440069996069142 1.05728906189442 0.996010141694403 0.219020149791501
0.653275681081787 0.344136766280169 0.94827244953821 0.985409515169385 0.216180385001502
0.483227884537383 0.244239103746065 0.84541559766128 0.988751046762669 0.177294342847447
0.929611188263732 0.546302756091344 0.938183446598991 0.995981314387632 0.203787359397563
0.881364893535445 0.523058895846493 0.998072077087515 0.994786817041925 0.188129422650785
0.673257937415371 0.297008242443771 0.913074777370823 1.00669223681865 0.245100923266773
0.466912684492083 0.237085714323361 0.865543123741136 0.994178112239916 0.191366003532472
0.884318828284903 0.591703271253328 0.992461480920162 0.993089690242906 0.166423377663723
0.814201733451065 0.43291846986399 0.962975465727587 0.992458340198932 0.250227474207031
0.689414065516681 0.348616046855272 0.996585732559035 1.00755615030709 0.221929976300631
0.525274192123129 0.248263769943939 0.919866631008558 0.988776926964317 0.194745807484868
0.960517519000891 0.680103587736146 0.910150098799531 0.9903119174451 0.146373945266937
0.898854373919 0.45065798474743 0.983219794814631 1.00871146625287 0.198392453938489
0.670705487575773 0.350012648635345 1.0116729180511 0.992747593169777 0.219938748350724
0.552649830664558 0.238740725321926 0.876137738812418 0.997981401972862 0.179530383023955
0.845402617148026 0.418942027913961 0.833603218290584 0.991857778796455 0.334221759081585
0.880982598511627 0.497265547798507 0.889568473827549 0.997939034071061 0.178502872287973
0.764032841031968 0.379565694806962 0.925485577566502 0.987581883592431 0.210068902752252
0.505548646673346 0.254513820037214 0.846099575870883 0.984244630822806 0.183168818407056
0.957090441460296 0.631323894095461 1.07061864039868 1.00920654239243 0.116197059299278
0.886236758991727 0.479232957846768 0.968554994719067 1.00856100814143 0.204391778770789
0.693508328706103 0.337278385227964 1.00931876172941 0.999552005819556 0.22959563788812
0.516735050497683 0.246562240669542 0.938332435493971 0.99186400152398 0.186258428154755
0.947483418143411 0.499620184793178 0.913326547514447 0.999943055088768 0.243305001335392
0.870107636231642 0.46245179238532 0.974708136628592 0.998434697447874 0.258738846484772
0.744977416688185 0.34934436769251 0.846347357400159 0.99173921243748 0.243629442486616
0.481616531487274 0.237447663874446 0.860978701916245 0.984355585030277 0.190924819328237
0.950975151444992 0.603215095128771 0.908844261091259 0.999463813468372 0.171123956700945
0.835531355820432 0.473246120112668 1.02747657423238 1.00279174584422 0.202136211984036
0.678970909322195 0.326833585420004 0.929016301896222 0.985940919181715 0.258074773748067
0.540848156941304 0.23306802503483 1.07110012168798 0.997887051864059 0.178971670434597
0.923141714610328 0.552880658221382 0.972674657930906 0.999463948685064 0.206840061678991
0.883071916684762 0.472624151332768 0.921453191185063 1.00047478533608 0.193377858110037
0.722985878285035 0.345392248082621 0.930715432971322 0.999950818529659 0.217468754479495
0.517204647386224 0.234711351369782 0.823876217898358 1.00035289398542 0.175578325094047
0.962710439349649 0.600415737596501 0.997821988889049 1.00466626872299 0.15610474804045
0.834509575851458 0.436660207311477 0.939576105741522 0.990357554121543 0.260623240639652
0.736511481032671 0.353907844130074 0.948278335020744 0.995387177604799 0.204186963061554
0.506279824223666 0.250830996270604 0.763716384979343 0.999804338808964 0.183221164204555
0.928456038714836 0.629408381056421 0.940106677386886 0.999046544433265 0.143596285770464
0.867328676014403 0.429291168264108 1.06679822893527 1.00056012950132 0.263635026950298
0.712520524880572 0.343564288293348 0.942755239018638 0.982272720419001 0.229319621014523
0.516737930341998 0.246613635137389 0.85201885197561 0.993724548690079 0.168934744015828
