"m" "tau" "rho" "theta" "s" "q"
0.994083437002163 0.735980140374328 1.06366263038264 0.996879413385351 0.0401528555108419 10.4359950858665
0.960483307813748 0.739681455467295 0.928282817846524 1.00309470837163 0.0885468432530023 10.12600280669
1.00867367535795 0.763383909795103 1.0488526680268 1.00114474634421 0.279883357324777 10.3274857547504
0.941967336610023 0.750294272151234 0.929218763704809 0.996408445325179 0.485811180553698 10.1632308825876
1.01834402584354 0.826875808118184 0.992974078822719 0.992795886801908 0.0745036997757389 9.95603427204973
0.945161040395988 0.813060701240983 1.02181106262838 0.979914741204149 0.0803282088674591 9.71831305349521
0.977722303261318 0.749739477114113 0.973925351767953 1.00851682310166 0.168387898817304 8.75936662674194
0.942749179657455 0.666508937939069 1.0396130065306 1.01182742104572 0.540081190924372 11.7729646578168
0.971021510858455 0.797301893521988 0.978248792031065 0.987234590176574 0.0157930998224671 9.6387402928067
0.97449435851504 0.762107109162022 0.98733545543231 0.987784061809499 0.0809913870278018 9.8378160087842
1.00023378719651 0.745030630370619 0.964379021577097 1.00630958997863 0.256262550455187 10.0862601946384
1.02985420494725 0.766759844100702 1.01062407192132 0.998628706771922 0.541247566012462 10.5712722522292
0.988988390036855 0.765112385805302 1.04270340104531 1.00985226015122 0.0561117318978293 9.8933015708724
0.963108217850452 0.704636505342442 1.00346105324289 1.00944222012457 0.0755960621551295 9.96636186579773
0.994714494221735 0.707408867710296 0.997771529710036 1.02406027655663 0.236224581582043 9.68244532985982
1.03720277317825 0.728861461896838 1.01714330625305 1.01210235661571 0.550807749534965 10.894773389022
1.02402558840289 0.769340070334517 1.10124543352934 1.00331731125793 0.0519709991449349 9.75544005031276
1.04189416083382 0.765496553371269 1.03364639039837 1.00299584616967 0.115559872767834 10.117066812432
1.03044850094857 0.849010394222971 0.946786579355884 0.983690492378562 0.25616438177317 9.83589614595269
1.00651707840805 0.839668231905033 0.984461419190478 0.975619587174862 0.497118259826321 10.0644718836559
1.02746440677954 0.787764957798296 1.01409426066081 0.999975196525313 0.0564332500740201 9.67149330516705
0.960462905981642 0.707131059761294 0.991026903490736 1.01217126029766 0.0842402594763207 10.0202301000673
1.02268010681264 0.808155665780404 0.964717564029285 0.997201571999386 0.256774615782931 9.62565248197811
0.999135732654572 0.744058363586146 0.995841509397314 1.00255672466111 0.508472651598738 10.5230872085226
1.0248610629928 0.741529522273806 1.01163949222099 1.00921067704787 0.0365637983266136 10.0185687439972
