"m" "tau" "rho" "theta" "s" "q"
1.00593992846922 0.784374546332278 0.985278077895331 0.998943684555013 0.0355131177399943 0.131457335581243
1.0006431891241 0.700689868861974 1.1154227886281 1.00596205779492 0.0787033638027497 0.117327239692958
0.999118191339109 0.795709149123411 1.014036691374 1.00641026407844 0.272127182783434 0.0825953348639665
1.03026091653182 0.845148198063582 1.02992432077599 1.01816243315352 0.49843308161643 0.0381090578828536
1.0204548036039 0.799356872437719 1.00795653219856 0.999469669187683 0.0633034310965912 0.11151617848966
1.02346311363232 0.798168800327775 1.07402823389011 1.00698659575851 0.125627274571863 0.104353325102946
0.982079016439621 0.727806173604772 0.91330675974313 0.984723598373156 0.224449033874476 0.153754870252054
1.02781500743278 0.846886158520043 0.933396626543789 1.00573285084857 0.519103881826231 0.0968889273727924
1.02168549372609 0.749991030425592 1.04096268333104 1.00233612116213 0.0304341565666466 0.0960036662717851
0.998641139989689 0.748013405202658 1.06270435758714 1.01444877756101 0.0934019591278956 0.0696389335150505
0.980343060498176 0.639562561758887 1.01027501356688 0.994135774762434 0.203305734206629 0.156637386174262
0.998630123182987 0.669076459049464 1.00628084098017 1.01670431617113 0.512234833304416 0.120905214498906
0.94711863807592 0.707881865925678 0.931240663646508 0.980627473511055 0.0200677466628858 0.141210640948933
1.04723006637221 0.728302007799029 1.01471111641053 1.01416156858814 0.103002030019961 0.0983680019047479
0.993002659343858 0.873807442781412 0.939621660110505 0.99056512187874 0.243461524617465 0.065760954683787
0.992476596170631 0.864747015696787 0.953839238223178 0.999870383873476 0.487196243164623 0.0475231990501841
0.96000603319257 0.746365504681132 1.0355747140611 0.991478059953505 0.0279100327634518 0.118151980033399
0.996061779598246 0.609444399962729 1.01260110713614 1.01154946945438 0.0718942740020676 0.142005413012522
0.994480271921853 0.798212365827799 0.948382578136134 0.992299069549254 0.216609036997416 0.115731784319857
1.01805772068875 0.849126297595189 1.00700024453811 0.993825650504279 0.502886537328471 0.0737975380104885
1.03771163348737 0.839524296179802 1.02062395943149 1.01211792272782 0.0757674116904168 0.070712262489115
1.04811487352868 0.729383872622021 1.08634667554565 1.00699580178791 0.11034058723501 0.0844326326720657
0.943510951089206 0.770029582254169 0.946593417443972 0.998113992547153 0.25530468595763 0.0762009091151448
0.977732326784352 0.801273347153374 0.89566649157797 1.0028324066699 0.514360097898913 0.0794219941157501
